GRB name,T100,Cat
GRB110318A,23.59,L
GRB110315A,105.6,L
GRB110312A,40.05,L
GRB110305A,13.0,L
GRB110223B,65.1,L
GRB110223A,8.0,L
GRB110213A,64.0,L
GRB110212A,4.35,L
GRB110210A,210.93,L
GRB110208A,19.07,L
GRB110207A,95.88,L
GRB110205A,507.39,L
GRB110201A,17.28,L
GRB110128A,16.56,L
GRB110119A,325.97,L
GRB110112A,0.58,S
GRB110107A,86.0,L
GRB110106B,53.95,L
GRB110106A,3.0,L
GRB110102A,353.81,L
GRB101225A,,Discarded
GRB101224A,0.27,S
GRB101219B,49.15,L
GRB101219A,1.12,S
GRB101213A,200.02,L
GRB101204A,30.4,Discarded
GRB101201A,67.2,Discarded
GRB101129A,0.62,S
GRB101117B,8.28,L
GRB101114A,8.0,L
GRB101030A,124.21,L
GRB101024A,20.38,L
GRB101023A,149.58,L
GRB101020A,208.62,L
GRB101017A,136.06,L
GRB101011A,87.45,L
GRB101008A,109.17,L
GRB100928A,4.72,L
GRB100924A,89.0,L
GRB100917A,68.44,L
GRB100915A,222.15,L
GRB100906A,130.68,L
GRB100905A,3.78,L
GRB100904A,38.08,L
GRB100902A,459.06,L
GRB100901A,460.84,L
GRB100823A,20.58,L
GRB100816A,5.23,L
GRB100814A,247.76,L
GRB100807A,9.22,L
GRB100805A,18.46,L
GRB100802A,535.07,L
GRB100728B,14.94,L
GRB100728A,412.56,L
GRB100727A,104.45,L
GRB100725B,230.07,L
GRB100725A,174.18,L
GRB100724A,1.56,L
GRB100719A,39.0,L
GRB100704A,264.64,L
GRB100702A,0.51,S
GRB100628A,0.04,Discarded
GRB100625A,0.4,S
GRB100621A,210.38,L
GRB100619A,109.48,L
GRB100615A,47.45,L
GRB100614A,291.0,L
GRB100606A,83.19,L
GRB100526B,74.0,L
GRB100526A,113.98,L
GRB100522A,64.0,L
GRB100514A,29.98,L
GRB100513A,104.98,L
GRB100508A,59.91,L
GRB100504A,112.15,L
GRB100427A,24.0,L
GRB100425A,41.49,L
GRB100424A,125.0,L
GRB100423A,96.62,L
GRB100420A,69.35,L
GRB100418A,9.42,L
GRB100413B,16.0,L
GRB100413A,226.48,L
GRB100401A,3.0,L
GRB100324A,6.4,L
GRB100322B,1.0,S
GRB100316D,953.74,L
GRB100316C,9.93,L
GRB100316B,4.4,L
GRB100316A,7.97,L
GRB100305A,87.36,L
GRB100302A,19.65,L
GRB100224A,0.48,S
GRB100219A,39.03,L
GRB100216A,0.27,S
GRB100213B,117.17,L
GRB100213A,2.55,S
GRB100212A,178.17,L
GRB100206A,0.13,S
GRB100205A,29.86,L
GRB100203A,11.2,L
GRB100119A,31.21,L
GRB100117A,0.32,S
GRB100115A,4.0,Discarded
GRB100111A,18.0,L
GRB091221,84.67,L
GRB091208B,19.5,L
GRB091208A,96.0,L
GRB091130B,156.04,L
GRB091127,7.57,L
GRB091117,0.96,S
GRB091112,25.24,L
GRB091109B,0.34,S
GRB091109A,52.59,L
GRB091104,122.0,L
GRB091102,7.41,L
GRB091029,61.97,L
GRB091026,220.0,L
GRB091024,150.19,L
GRB091020,56.74,L
GRB091018,8.02,L
GRB090929B,380.68,L
GRB090929A,52.13,L
GRB090927,2.42,L
GRB090926B,151.95,L
GRB090916,68.56,L
GRB090915,9.6,L
GRB090912,162.07,L
GRB090904B,80.0,L
GRB090904A,156.88,L
GRB090831C,80.77,L
GRB090827,8.0,Discarded
GRB090823,27.2,L
GRB090815C,0.7,S
GRB090814A,87.33,L
GRB090813,8.13,L
GRB090812,119.32,L
GRB090809A,9.97,L
GRB090807A,160.94,L
GRB090728,80.0,L
GRB090727,320.22,L
GRB090726,65.44,L
GRB090720A,4.8,Discarded
GRB090715B,303.96,L
GRB090715A,64.0,L
GRB090712,272.65,L
GRB090709B,33.17,L
GRB090709A,168.77,L
GRB090708,9.38,L
GRB090628,29.08,L
GRB090621B,0.17,S
GRB090621A,272.8,L
GRB090618,218.63,L
GRB090607,2.43,S
GRB090531B,55.88,L
GRB090531A,60.15,L
GRB090530,48.55,L
GRB090529A,79.88,L
GRB090520,14.4,L
GRB090519,67.29,L
GRB090518,95.81,L
GRB090516A,234.29,L
GRB090515,0.05,Discarded
GRB090510,6.35,S
GRB090509,361.09,L
GRB090429B,6.94,L
GRB090429A,217.0,L
GRB090426,1.37,L
GRB090424,103.23,L
GRB090423,12.41,L
GRB090422,8.89,L
GRB090419,527.42,L
GRB090418B,89.0,L
GRB090418A,69.41,L
GRB090417B,309.37,L
GRB090417A,0.08,Discarded
GRB090410,188.67,L
GRB090407,347.04,L
GRB090404,129.81,L
GRB090401B,326.28,L
GRB090401A,176.96,L
GRB090313,96.06,L
GRB090309A,3.0,L
GRB090308A,28.76,L
GRB090307A,24.0,L
