GRB name,T90,Type
GRB110820A,264.62,L
GRB110818A,102.84,L
GRB110808A,40.7,L
GRB110801A,385.26,L
GRB110731A,40.94,L
GRB110726A,5.16,L
GRB110719A,41.23,L
GRB110715A,13.0,L
GRB110709B,810.47,L
GRB110709A,44.33,L
GRB110625A,42.5,L
GRB110610A,49.44,L
GRB110604A,,Discarded
GRB110530A,55.73,L
GRB110521A,96.0,L
GRB110520A,20.86,L
GRB110519A,27.18,L
GRB110503A,58.7,L
GRB110422A,25.78,L
GRB110420B,0.08,Discarded
GRB110420A,13.87,L
GRB110414A,153.12,L
GRB110412A,24.0,L
GRB110411A,79.4,L
GRB110407A,155.57,L
GRB110402A,56.21,L
GRB110319B,28.47,L
GRB110319A,20.68,L
GRB110318B,4.79,L
GRB110318A,15.96,L
GRB110315A,87.68,L
GRB110312A,35.14,L
GRB110305A,12.0,L
GRB110223B,61.45,L
GRB110223A,7.0,L
GRB110213A,48.0,L
GRB110212A,3.7,L
GRB110210A,192.89,L
GRB110208A,15.98,L
GRB110207A,82.58,L
GRB110205A,249.42,L
GRB110201A,14.09,L
GRB110128A,14.15,L
GRB110119A,213.93,L
GRB110112A,0.52,S
GRB110107A,77.0,L
GRB110106B,43.42,L
GRB110106A,3.0,L
GRB110102A,265.92,L
GRB101225A,,Discarded
GRB101224A,0.24,S
GRB101219B,41.86,L
GRB101219A,0.83,S
GRB101213A,131.12,L
GRB101204A,27.2,Discarded
GRB101201A,60.8,Discarded
GRB101129A,0.38,S
GRB101117B,5.17,L
GRB101114A,8.0,L
GRB101030A,98.67,L
GRB101024A,18.69,L
GRB101023A,80.82,L
GRB101020A,172.34,L
GRB101017A,72.23,L
GRB101011A,70.89,L
GRB101008A,103.5,L
GRB100928A,4.16,L
GRB100924A,71.95,L
GRB100917A,63.82,L
GRB100915A,199.2,L
GRB100906A,114.63,L
GRB100905A,3.4,L
GRB100904A,31.25,L
GRB100902A,428.83,L
GRB100901A,436.66,L
GRB100823A,17.74,L
GRB100816A,2.88,L
GRB100814A,177.26,L
GRB100807A,7.74,L
GRB100805A,16.74,L
GRB100802A,487.34,L
GRB100728B,12.08,L
GRB100728A,193.38,L
GRB100727A,71.9,L
GRB100725B,173.7,L
GRB100725A,123.24,L
GRB100724A,1.39,L
GRB100719A,36.0,L
GRB100704A,196.88,L
GRB100702A,0.51,S
GRB100628A,0.04,Discarded
GRB100625A,0.33,S
GRB100621A,63.55,L
GRB100619A,97.7,L
GRB100615A,38.82,L
GRB100614A,225.0,L
GRB100606A,67.38,L
GRB100526B,67.0,L
GRB100526A,97.6,L
GRB100522A,48.0,L
GRB100514A,23.02,L
GRB100513A,83.5,L
GRB100508A,49.26,L
GRB100504A,97.0,L
GRB100427A,24.0,L
GRB100425A,38.97,L
GRB100424A,104.0,L
GRB100423A,78.87,L
GRB100420A,62.98,L
GRB100418A,7.93,L
GRB100413B,16.0,L
GRB100413A,192.64,L
GRB100401A,2.0,L
GRB100324A,6.4,L
GRB100322B,1.0,S
GRB100316D,521.88,L
GRB100316C,9.27,L
GRB100316B,3.84,L
GRB100316A,6.75,L
GRB100305A,75.62,L
GRB100302A,17.95,L
GRB100224A,0.48,S
GRB100219A,27.57,L
GRB100216A,0.21,S
GRB100213B,91.86,L
GRB100213A,2.22,S
GRB100212A,163.76,L
GRB100206A,0.12,S
GRB100205A,25.84,L
GRB100203A,11.2,L
GRB100119A,23.07,L
GRB100117A,0.29,S
GRB100115A,4.0,Discarded
GRB100111A,14.0,L
GRB091221,62.9,L
GRB091208B,14.8,L
GRB091208A,80.0,L
GRB091130B,101.76,L
GRB091127,6.96,L
GRB091117,0.64,S
GRB091112,17.52,L
GRB091109B,0.27,S
GRB091109A,48.03,L
GRB091104,107.14,L
GRB091102,6.65,L
GRB091029,39.18,L
GRB091026,174.0,L
GRB091024,112.28,L
GRB091020,38.92,L
GRB091018,4.37,L
GRB090929B,357.36,L
GRB090929A,43.25,L
GRB090927,2.16,L
GRB090926B,99.28,L
GRB090916,62.45,L
GRB090915,9.6,L
GRB090912,135.52,L
GRB090904B,64.0,L
GRB090904A,129.53,L
GRB090831C,77.95,L
GRB090827,8.0,Discarded
GRB090823,25.6,L
GRB090815C,0.58,S
GRB090814A,78.06,L
GRB090813,7.14,L
GRB090812,74.5,L
GRB090809A,8.87,L
GRB090807A,146.35,L
GRB090728,64.0,L
GRB090727,301.88,L
GRB090726,56.68,L
GRB090720A,4.8,Discarded
GRB090715B,266.4,L
GRB090715A,64.0,L
